episode_id;episode_season;episode_imdb_rating;episode_views
32;2;8.5;52770.0
263;12;7.4;49811.0
33;2;7.9;51997.0
34;2;8.4;50403.0
265;12;6.9;49065.0
35;2;8.0;52829.0
41;3;7.7;45586.0
36;3;8.6;55238.0
42;3;8.2;103012.0
266;12;8.6;53728.0
280;13;7.1;45176.0
37;3;7.7;52098.0
300;14;6.9;51877.0
301;14;6.8;46336.0
38;3;8.2;53499.0
306;14;7.3;47386.0
307;14;7.1;43756.0
43;3;7.9;53093.0
318;15;7.2;39180.0
39;3;8.7;64342.0
328;15;6.9;47246.0
40;3;8.5;50601.0
329;15;6.9;44539.0
47;3;8.2;47880.0
337;16;7.0;41064.0
419;19;7.1;39443.0
49;3;8.0;49457.0
44;3;7.9;55808.0
45;3;8.8;58968.0
50;3;8.0;58991.0
46;3;8.2;55987.0
48;3;8.5;58919.0
51;3;8.3;53123.0
52;3;8.6;72378.0
53;3;8.2;61508.0
54;3;7.7;49665.0
55;3;7.9;46901.0
58;3;7.8;48058.0
57;3;7.7;50068.0
56;3;8.2;57582.0
59;3;8.2;50936.0
60;4;8.4;67081.0
61;4;8.1;54487.0
62;4;9.0;64605.0
63;4;7.8;52203.0
65;4;8.2;55740.0
64;4;8.4;108171.0
66;4;7.8;69527.0
68;4;8.8;63564.0
67;4;8.2;54557.0
69;4;8.5;62070.0
70;4;8.7;57400.0
71;4;9.0;88171.0
72;4;8.0;56396.0
73;4;8.1;59040.0
74;4;8.3;62309.0
75;4;8.3;84874.0
76;4;9.0;71907.0
77;4;7.2;49139.0
80;4;7.7;68692.0
78;4;8.1;53404.0
79;4;8.1;60739.0
81;4;8.2;59948.0
82;5;8.4;58390.0
83;5;9.0;65585.0
87;5;8.0;53490.0
85;5;8.9;57149.0
84;5;8.6;64802.0
86;5;8.7;110251.0
88;5;7.7;74139.0
89;5;8.7;83238.0
90;5;8.4;59350.0
91;5;8.5;82216.0
94;5;8.3;58716.0
92;5;8.2;74673.0
93;5;8.1;66267.0
95;5;8.2;61715.0
97;5;8.5;69996.0
96;5;8.8;75439.0
99;5;8.4;81678.0
98;5;7.9;63427.0
100;5;8.4;66406.0
101;5;8.2;74427.0
102;5;7.5;59503.0
103;5;8.0;67959.0
104;6;8.6;65126.0
105;6;8.1;54225.0
106;6;6.0;42576.0
112;6;9.0;71577.0
109;6;9.0;119295.0
107;6;8.5;72722.0
108;6;8.3;76932.0
113;6;8.0;64719.0
110;6;8.0;62450.0
111;6;8.4;63564.0
121;6;8.5;71936.0
114;6;7.8;61569.0
115;6;8.9;71002.0
122;6;8.3;74266.0
116;6;8.5;63051.0
118;6;8.5;73123.0
117;6;8.6;67619.0
119;6;8.5;80724.0
124;6;8.1;74788.0
120;6;7.9;60599.0
123;6;8.1;62323.0
125;6;8.3;56001.0
126;6;8.2;79777.0
127;6;8.6;70698.0
128;6;9.1;86070.0
129;7;8.9;67579.0
130;7;8.3;62390.0
132;7;8.7;65333.0
131;7;8.3;70120.0
133;7;8.5;69245.0
134;7;8.5;110342.0
136;7;8.5;61085.0
139;7;8.3;68970.0
135;7;9.0;81426.0
137;7;8.0;61246.0
138;7;7.5;56153.0
140;7;8.3;72268.0
141;7;8.7;64224.0
142;7;7.7;58572.0
143;7;7.7;71230.0
144;7;8.1;58795.0
148;7;8.6;70913.0
145;7;8.9;68354.0
149;7;8.8;66536.0
146;7;8.0;57809.0
147;7;8.2;57830.0
150;7;8.3;69120.0
151;7;8.0;75618.0
152;7;8.0;60569.0
154;8;8.3;102077.0
153;7;8.3;65847.0
156;8;8.0;61146.0
155;8;9.2;79609.0
158;8;8.2;60210.0
159;8;8.0;60956.0
157;8;7.7;55497.0
160;8;7.8;60912.0
162;8;8.5;64743.0
161;8;8.8;66281.0
163;8;9.0;69555.0
164;8;7.8;71813.0
165;8;8.6;60763.0
166;8;7.7;57608.0
168;8;8.9;63355.0
167;8;7.9;58581.0
170;8;8.1;54247.0
171;8;8.7;83561.0
169;8;8.2;56659.0
172;8;8.2;60584.0
174;8;7.9;56833.0
173;8;7.7;54155.0
176;8;9.2;74177.0
177;8;7.3;57926.0
175;8;8.0;59088.0
179;9;9.1;62962.0
178;8;7.8;59196.0
180;9;7.4;48414.0
181;9;8.1;20008.0
182;9;8.1;30963.0
183;9;8.2;30921.0
184;9;7.7;31033.0
185;9;7.7;19419.0
186;9;8.0;22318.0
187;9;7.5;25183.0
188;9;7.6;19899.0
190;9;7.7;22426.0
193;9;7.5;20298.0
189;9;5.1;15780.0
191;9;8.2;27710.0
192;9;8.1;32487.0
194;9;7.6;21214.0
195;9;8.0;21608.0
196;9;7.8;20739.0
197;9;8.3;23127.0
198;9;7.9;23426.0
199;9;7.9;21811.0
200;9;8.5;26299.0
201;9;8.3;60952.0
202;9;7.7;55316.0
203;9;8.1;53823.0
204;10;7.6;56018.0
205;10;8.2;53216.0
206;10;7.5;43240.0
212;10;8.2;56762.0
214;10;7.7;57693.0
207;10;8.0;83169.0
217;10;7.3;46822.0
219;10;7.5;53449.0
208;10;7.3;43485.0
209;10;7.6;45779.0
210;10;8.0;50013.0
211;10;7.3;50300.0
213;10;7.8;56561.0
215;10;6.9;50051.0
216;10;7.7;55726.0
220;10;7.6;54195.0
218;10;7.3;52778.0
222;10;7.6;47851.0
226;10;7.9;55947.0
221;10;7.3;47155.0
227;11;7.3;34394.0
228;11;7.5;44172.0
223;10;7.3;47550.0
224;10;7.2;44242.0
225;10;7.3;47951.0
229;11;7.5;46141.0
230;11;7.7;47980.0
231;11;7.6;51431.0
232;11;7.3;44615.0
233;11;7.1;40465.0
234;11;7.1;41484.0
235;11;7.3;48070.0
236;11;7.3;48194.0
237;11;6.9;43869.0
238;11;7.3;43949.0
239;11;6.6;41259.0
240;11;7.9;47392.0
241;11;7.3;50427.0
242;11;7.3;52891.0
243;11;7.0;75315.0
244;11;7.4;48786.0
245;11;6.6;52176.0
246;11;7.2;47061.0
247;11;7.3;54146.0
250;12;7.4;40990.0
252;12;7.2;39480.0
248;11;7.9;74046.0
249;12;7.6;77719.0
251;12;7.1;40443.0
253;12;7.2;44005.0
254;12;7.7;51100.0
255;12;7.3;49325.0
256;12;8.0;56755.0
257;12;8.0;68784.0
258;12;7.3;51024.0
260;12;6.9;51004.0
261;12;7.2;49986.0
259;12;7.5;49893.0
262;12;7.2;50903.0
264;12;6.5;45718.0
267;12;7.3;49321.0
268;12;7.3;50070.0
269;12;7.0;56698.0
270;13;7.5;77136.0
271;13;7.1;47251.0
272;13;7.2;44651.0
273;13;7.2;37376.0
274;13;7.7;45288.0
275;13;7.1;45824.0
277;13;7.0;54348.0
276;13;6.9;45684.0
278;13;7.3;49429.0
279;13;7.5;42977.0
281;13;6.5;44787.0
282;13;6.5;41049.0
283;13;7.3;50301.0
284;13;7.0;50694.0
285;13;7.7;54539.0
287;13;7.7;69650.0
286;13;5.6;46335.0
288;13;6.9;47193.0
289;13;7.2;46466.0
291;13;8.0;53639.0
290;13;7.1;48954.0
293;14;7.3;35578.0
292;14;7.6;71817.0
296;14;6.8;42907.0
294;14;7.0;43130.0
295;14;7.1;55369.0
298;14;7.1;40867.0
297;14;7.3;48110.0
299;14;7.3;47170.0
302;14;6.6;47276.0
303;14;7.3;42885.0
304;14;7.1;42185.0
308;14;7.2;49263.0
305;14;6.9;44837.0
310;14;6.8;43223.0
309;14;7.0;49000.0
311;14;6.9;47288.0
312;14;6.6;50464.0
313;14;7.7;45931.0
314;15;7.4;68381.0
315;15;7.3;34590.0
316;15;7.0;37456.0
317;15;7.1;43134.0
319;15;6.6;37890.0
323;15;7.3;45062.0
320;15;7.2;40667.0
321;15;6.7;50276.0
322;15;7.3;42776.0
324;15;7.1;42492.0
325;15;7.3;46792.0
326;15;7.1;43969.0
327;15;6.9;43747.0
330;15;6.7;42440.0
331;15;7.0;47274.0
333;15;7.3;43128.0
336;16;7.4;72271.0
332;15;7.3;46273.0
334;15;6.2;56275.0
335;15;7.2;44954.0
338;16;7.1;40958.0
339;16;6.6;38908.0
346;16;6.9;46309.0
340;16;7.1;44210.0
341;16;7.3;43118.0
342;16;7.0;46256.0
347;16;7.0;44914.0
343;16;6.4;43356.0
344;16;6.8;42759.0
345;16;7.1;49371.0
348;16;7.0;45489.0
349;16;6.9;45174.0
350;16;7.3;53146.0
351;16;7.4;41620.0
352;16;7.2;50610.0
354;16;7.3;46504.0
353;16;6.8;44500.0
355;16;7.1;44606.0
356;16;7.2;48303.0
358;17;6.9;35717.0
357;17;6.3;33933.0
359;17;7.0;35779.0
361;17;6.9;39428.0
363;17;6.7;39577.0
360;17;7.3;74401.0
362;17;6.9;40306.0
364;17;7.0;45513.0
366;17;6.7;39552.0
365;17;6.9;43082.0
367;17;7.0;43599.0
368;17;6.4;39745.0
369;17;7.4;48854.0
370;17;7.0;44012.0
371;17;6.5;41323.0
376;17;6.7;43162.0
372;17;6.6;42303.0
373;17;7.2;47829.0
377;17;7.1;48419.0
374;17;6.7;42280.0
375;17;7.2;45267.0
378;17;6.6;42778.0
379;18;7.5;41321.0
386;18;7.2;41161.0
389;18;7.0;67621.0
381;18;6.8;41865.0
380;18;6.7;33495.0
382;18;7.1;68799.0
383;18;6.9;42160.0
392;18;7.1;41561.0
384;18;6.8;37177.0
387;18;6.4;43700.0
385;18;7.0;43032.0
388;18;6.6;41312.0
390;18;7.0;52730.0
395;18;7.3;47107.0
391;18;7.3;45036.0
396;18;6.3;44770.0
397;18;7.1;46262.0
398;18;7.0;42892.0
399;18;8.1;45026.0
393;18;6.3;41751.0
394;18;7.2;42602.0
400;18;7.3;45281.0
402;19;6.7;33792.0
401;19;6.7;36253.0
403;19;7.2;35926.0
405;19;7.1;69957.0
404;19;6.9;35850.0
406;19;6.7;39369.0
407;19;7.1;44445.0
409;19;8.2;44862.0
408;19;7.1;42596.0
413;19;7.7;42141.0
414;19;7.3;41658.0
410;19;6.9;44512.0
411;19;6.3;43485.0
412;19;6.6;40507.0
415;19;6.7;41735.0
417;19;6.9;41118.0
416;19;6.1;39238.0
418;19;7.0;41440.0
420;19;6.4;44616.0
421;20;7.2;45735.0
422;20;6.9;38186.0
423;20;7.0;45781.0
425;20;6.6;40078.0
429;20;5.9;38582.0
426;20;7.1;38879.0
427;20;7.1;40353.0
432;20;7.0;41165.0
428;20;6.6;38247.0
430;20;7.0;40679.0
434;20;6.3;45727.0
431;20;7.0;41271.0
435;20;6.8;43254.0
433;20;7.2;43663.0
436;20;7.2;40864.0
437;20;7.2;45179.0
438;20;7.0;42390.0
439;20;7.1;45032.0
440;20;6.3;44718.0
445;21;7.3;66209.0
442;21;7.1;39936.0
472;22;6.9;43781.0
443;21;6.6;38196.0
473;22;7.0;40276.0
478;22;7.2;42693.0
479;22;6.7;42142.0
444;21;6.3;39134.0
497;23;7.0;43275.0
511;24;6.9;39687.0
446;21;6.7;42893.0
528;24;6.3;42426.0
549;25;5.8;48760.0
448;21;6.8;37909.0
566;26;6.7;35846.0
449;21;7.2;38097.0
451;21;6.7;40194.0
452;21;7.1;40854.0
450;21;6.8;36227.0
454;21;6.6;41059.0
455;21;7.1;41357.0
453;21;6.8;44945.0
456;21;7.0;40487.0
457;21;5.7;44070.0
458;21;6.7;44645.0
459;21;6.9;41528.0
462;21;6.9;40904.0
463;21;7.2;43446.0
460;21;6.9;40632.0
461;21;7.2;45738.0
464;21;6.6;41830.0
465;22;6.3;31638.0
466;22;6.8;35051.0
467;22;6.8;39073.0
468;22;7.1;61954.0
469;22;7.2;40637.0
471;22;6.4;37568.0
470;22;6.5;38097.0
474;22;6.3;41253.0
475;22;6.9;42734.0
476;22;7.0;42691.0
480;22;6.1;38893.0
477;22;6.9;42028.0
481;22;6.5;41202.0
482;22;7.0;41560.0
489;23;6.6;63816.0
490;23;6.7;38034.0
483;22;6.6;41638.0
484;22;7.2;46154.0
487;23;7.2;39209.0
491;23;7.2;42746.0
485;22;7.3;46660.0
486;22;7.0;43681.0
488;23;7.0;37642.0
493;23;6.8;41687.0
494;23;6.2;39002.0
492;23;7.8;42780.0
495;23;8.2;69460.0
496;23;6.1;44074.0
498;23;5.7;39838.0
499;23;6.5;40669.0
500;23;7.0;45226.0
501;23;6.9;45133.0
502;23;7.3;44818.0
503;23;7.1;43615.0
506;23;6.9;43544.0
504;23;7.1;43422.0
505;23;7.4;53058.0
507;23;6.7;47005.0
508;23;4.5;44434.0
509;24;6.4;36570.0
510;24;7.3;67484.0
512;24;6.7;35136.0
513;24;6.3;36897.0
514;24;6.5;43211.0
515;24;7.2;40649.0
517;24;6.9;42306.0
518;24;7.0;41542.0
516;24;7.2;40726.0
521;24;7.0;42807.0
522;24;6.2;39510.0
519;24;6.6;42215.0
520;24;6.5;41828.0
523;24;7.0;42925.0
525;24;6.5;43471.0
524;24;7.1;44170.0
529;24;7.2;42996.0
526;24;6.5;41184.0
527;24;6.8;42810.0
